date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2018-05-25,39,1.369624,25.0,176,0.8188
2018-05-26,39,1.455857,30.0,182,0.7917
2018-05-27,39,1.482508,40.0,201,0.7546
2018-05-28,39,1.45076,22.0,196,0.8608
2018-05-29,39,1.146665,25.0,222,0.8641
2018-05-30,39,1.234532,25.0,228,0.8684
2018-05-31,39,1.076513,39.0,247,0.8134
2018-06-01,39,0.866454,30.0,255,0.8618
2018-06-02,39,0.889364,38.0,269,0.8355
2018-06-03,39,0.699628,49.0,281,0.7984
2018-06-04,39,0.523708,42.0,276,0.8235
2018-06-05,39,0.613181,45.0,261,0.7982
2018-06-06,39,0.780784,21.0,256,0.9037
2018-06-07,39,0.839226,42.0,250,0.8019
2018-06-08,39,1.125893,31.0,232,0.8402
2018-06-09,39,1.145692,33.0,243,0.839
2018-06-10,39,1.07117,45.0,247,0.7847
2018-06-11,39,1.124988,42.0,241,0.7931
2018-06-12,39,1.106769,47.0,234,0.7602
2018-06-13,39,1.206669,47.0,227,0.7513
2018-06-14,39,1.171407,57.0,240,0.7178
2018-06-15,39,1.077015,57.0,256,0.7385
2018-06-16,39,1.202053,44.0,270,0.8103
2018-06-17,39,1.286479,56.0,271,0.7597
2018-06-18,39,1.151562,41.0,259,0.8145
2018-06-19,39,1.15615,35.0,255,0.8387
2018-06-20,39,1.142858,42.0,257,0.8082
2018-06-21,39,1.041968,16.0,261,0.9283
2018-06-22,39,1.134872,18.0,262,0.9196
2018-06-23,39,0.953762,29.0,275,0.8776
2018-06-24,39,0.852947,30.0,295,0.8833
2018-06-25,39,0.587216,29.0,305,0.8914
2018-06-26,39,0.531083,28.0,306,0.8955
2018-06-27,39,0.698703,26.0,290,0.8968
2018-06-28,39,0.766725,28.0,297,0.8919
2018-06-29,39,0.791029,15.0,277,0.9372
2018-06-30,39,0.654539,29.0,290,0.8849
2018-07-01,39,0.666226,33.0,291,0.8696
2018-07-02,39,0.539086,30.0,278,0.875
2018-07-03,39,0.615846,35.0,268,0.8478
2018-07-04,39,0.811066,22.0,249,0.8957
2018-07-05,39,0.847634,22.0,236,0.8889
2018-07-06,39,0.985705,37.0,211,0.7861
2018-07-07,39,0.965508,19.0,225,0.8984
2018-07-08,39,1.110025,19.0,235,0.9036
2018-07-09,39,0.939299,20.0,249,0.9052
2018-07-10,39,0.854021,18.0,239,0.9104
2018-07-11,39,0.662798,7.0,265,0.9692
2018-07-12,39,0.534987,18.0,282,0.9262
2018-07-13,39,0.551127,19.0,279,0.9212
2018-07-14,39,0.678396,16.0,288,0.936
2018-07-15,39,0.743999,7.0,268,0.9696
2018-07-16,39,0.76346,7.0,266,0.9693
2018-07-17,39,0.801523,15.0,265,0.9339
2018-07-18,39,0.724495,16.0,272,0.9316
2018-07-19,39,0.818954,17.0,264,0.9248
2018-07-20,39,0.91007,24.0,256,0.8899
2018-07-21,39,1.004563,46.0,264,0.7965
2018-07-22,39,0.880017,29.0,284,0.8821
2018-07-23,39,0.736567,28.0,285,0.8866
2018-07-24,39,0.925235,28.0,263,0.8756
2018-07-25,39,0.744862,39.0,257,0.8219
2018-07-26,39,0.813966,22.0,242,0.8922
2018-07-27,39,0.779067,60.0,262,0.7321
2018-07-28,39,0.879424,61.0,295,0.7626
2018-07-29,39,1.055524,63.0,293,0.7529
2018-07-30,39,0.990425,57.0,278,0.7625
2018-07-31,39,0.995878,55.0,276,0.7689
2018-08-01,39,0.748948,55.0,245,0.7343
2018-08-02,39,0.783576,45.0,230,0.7656
2018-08-03,39,1.035279,44.0,238,0.78
2018-08-04,39,1.041788,51.0,245,0.7536
2018-08-05,39,1.015966,52.0,251,0.7559
2018-08-06,39,1.047668,46.0,243,0.7756
2018-08-07,39,0.995528,41.0,239,0.796
2018-08-08,39,1.345293,35.0,225,0.8128
2018-08-09,39,1.135562,29.0,216,0.8371
2018-08-10,39,1.300034,24.0,210,0.8605
2018-08-11,39,1.437007,27.0,205,0.8383
2018-08-12,39,1.413645,47.0,211,0.7283
2018-08-13,39,1.722268,61.0,216,0.6573
2018-08-14,39,1.730914,56.0,210,0.6744
2018-08-15,39,1.703239,48.0,234,0.7551
2018-08-16,39,1.523001,25.0,236,0.8737
2018-08-17,39,1.515109,14.0,244,0.932
2018-08-18,39,1.445346,26.0,246,0.875
2018-08-19,39,1.268851,63.0,255,0.7097
2018-08-20,39,1.179706,59.0,243,0.7122
2018-08-21,39,1.1441,56.0,239,0.7214
2018-08-22,39,1.214097,51.0,241,0.7488
2018-08-23,39,1.29765,38.0,260,0.8288
2018-08-24,39,0.98644,28.0,242,0.8627
2018-08-25,39,0.946551,40.0,246,0.8077
2018-08-26,39,1.051793,44.0,253,0.7953
2018-08-27,39,0.90717,39.0,261,0.8251
2018-08-28,39,0.883893,37.0,259,0.8326
2018-08-29,39,0.973065,29.0,279,0.8802
2018-08-30,39,0.948706,26.0,283,0.8939
2018-08-31,39,0.852912,27.0,286,0.8911
2018-09-01,39,0.786945,6.0,295,0.9767
2018-09-02,39,0.86307,41.0,303,0.8459
2018-09-03,39,0.854628,32.0,299,0.8779
2018-09-04,39,0.921538,6.0,279,0.9751
2018-09-05,39,0.885979,13.0,298,0.95
2018-09-06,39,0.993047,25.0,298,0.9038
2018-09-07,39,0.965772,4.0,299,0.9847
2018-09-08,39,1.107793,30.0,307,0.8885
2018-09-09,39,1.078215,12.0,282,0.9508
2018-09-10,39,1.071653,32.0,271,0.8627
2018-09-11,39,1.102226,16.0,270,0.931
2018-09-12,39,0.806175,25.0,255,0.8848
2018-09-13,39,0.769107,23.0,253,0.893
2018-09-14,39,0.944423,43.0,213,0.7543
2018-09-15,39,1.025152,26.0,215,0.8531
2018-09-16,39,1.02633,31.0,225,0.8342
2018-09-17,39,0.977055,43.0,240,0.7871
2018-09-18,39,1.041266,23.0,245,0.8889
2018-09-19,39,1.181248,26.0,270,0.8879
2018-09-20,39,1.136265,29.0,261,0.87
2018-09-21,39,1.298135,40.0,259,0.819
2018-09-22,39,1.227569,38.0,263,0.8311
2018-09-23,39,1.15749,82.0,282,0.6639
2018-09-24,39,1.189873,62.0,268,0.7304
2018-09-25,39,1.076349,58.0,276,0.7563
2018-09-26,39,1.479495,58.0,259,0.7376
2018-09-27,39,1.37571,26.0,241,0.8719
2018-09-28,39,1.482573,35.0,233,0.8205
2018-09-29,39,1.475058,41.0,253,0.8093
2018-09-30,39,1.36015,38.0,260,0.8288
2018-10-01,39,1.454635,40.0,247,0.8086
2018-10-02,39,1.442442,37.0,242,0.8186
2018-10-03,39,1.511912,31.0,241,0.8473
2018-10-04,39,0.947502,39.0,277,0.8368
2018-10-05,39,0.965966,37.0,263,0.8356
2018-10-06,39,0.902328,54.0,279,0.7759
2018-10-07,39,0.837227,60.0,286,0.7581
2018-10-08,39,1.12411,40.0,268,0.8261
2018-10-09,39,1.120292,35.0,264,0.8451
2018-10-10,39,0.949558,28.0,243,0.8634
2018-10-11,39,1.054537,64.0,280,0.7355
2018-10-12,39,0.995509,55.0,289,0.7809
2018-10-13,39,0.913872,40.0,279,0.834
2018-10-14,39,0.962981,63.0,291,0.751
2018-10-15,39,1.094011,58.0,282,0.7623
2018-10-16,39,1.164397,28.0,292,0.8898
2018-10-17,39,1.030239,33.0,280,0.8636
2018-10-18,39,0.963551,15.0,288,0.94
2018-10-19,39,0.907544,31.0,283,0.8735
2018-10-20,39,0.891265,27.0,277,0.887
2018-10-21,39,0.861015,43.0,279,0.8216
2018-10-22,39,0.92437,61.0,279,0.7469
2018-10-23,39,0.96301,43.0,272,0.8162
2018-10-24,39,0.997191,46.0,271,0.8026
2018-10-25,39,0.924861,41.0,257,0.8128
2018-10-26,39,0.923133,52.0,253,0.7581
2018-10-27,39,0.980538,37.0,256,0.8303
2018-10-28,39,1.167283,53.0,259,0.7602
2018-10-29,39,1.049651,48.0,243,0.7659
2018-10-30,39,1.084446,51.0,236,0.7424
2018-10-31,39,0.881073,45.0,261,0.7982
2018-11-01,39,0.882134,44.0,250,0.7925
2018-11-02,39,0.93527,50.0,263,0.7778
2018-11-03,39,0.817055,31.0,262,0.8616
2018-11-04,39,0.686043,31.0,260,0.8604
2018-11-05,39,0.722343,18.0,255,0.9171
2018-11-06,39,0.759893,30.0,256,0.8624
2018-11-07,39,0.623721,19.0,258,0.9136
2018-11-08,39,0.881316,41.0,263,0.8178
2018-11-09,39,1.043039,47.0,268,0.7957
2018-11-10,39,0.892186,56.0,234,0.7157
2018-11-11,39,0.936582,46.0,235,0.7677
2018-11-12,39,0.81374,73.0,244,0.6473
2018-11-13,39,1.165582,17.0,233,0.9128
2018-11-14,39,0.924122,7.0,232,0.9641
